1	100001
10001	110001
20001	120001
30001	130001
40001	140001
50001	150001
60001	160001
70001	170001
80001	180001
90001	190001
100001	200001
110001	210001
120001	220001
130001	230001
140001	240001
150001	250001
160001	260001
170001	270001
180001	280001
190001	290001
200001	300001
210001	310001
220001	320001
230001	330001
240001	340001
250001	350001
260001	360001
270001	370001
280001	380001
290001	390001
300001	400001
310001	410001
320001	420001
330001	430001
340001	440001
350001	450001
360001	460001
370001	470001
380001	480001
390001	490001
400001	500001
410001	510001
420001	520001
430001	530001
440001	540001
450001	550001
460001	560001
470001	570001
480001	580001
490001	590001
500001	600001
510001	610001
520001	620001
530001	630001
540001	640001
550001	650001
560001	660001
570001	670001
580001	680001
590001	690001
600001	700001
610001	710001
620001	720001
630001	730001
640001	740001
650001	750001
660001	760001
670001	770001
680001	780001
690001	790001
700001	800001
710001	810001
720001	820001
730001	830001
740001	840001
750001	850001
760001	860001
770001	870001
780001	880001
790001	890001
800001	900001
810001	910001
820001	920001
830001	930001
840001	940001
850001	950001
860001	960001
870001	970001
880001	980001
890001	990001
900001	1000001
910001	1010001
920001	1020001
930001	1030001
940001	1040001
950001	1050001
960001	1060001
970001	1070001
980001	1080001
990001	1090001
1000001	1100001
1010001	1110001
1020001	1120001
1030001	1130001
1040001	1140001
1050001	1150001
1060001	1160001
1070001	1170001
1080001	1180001
1090001	1190001
1100001	1200001
1110001	1210001
1120001	1220001
1130001	1230001
1140001	1240001
1150001	1250001
1160001	1260001
1170001	1270001
1180001	1280001
1190001	1290001
1200001	1300001
1210001	1310001
1220001	1320001
1230001	1330001
1240001	1340001
1250001	1350001
1260001	1360001
1270001	1370001
1280001	1380001
1290001	1390001
1300001	1400001
1310001	1410001
1320001	1420001
1330001	1430001
1340001	1440001
1350001	1450001
1360001	1460001
1370001	1470001
1380001	1480001
1390001	1490001
1400001	1500001
1410001	1510001
1420001	1520001
1430001	1530001
1440001	1540001
1450001	1550001
1460001	1560001
1470001	1570001
1480001	1580001
1490001	1590001
1500001	1600001
1510001	1610001
1520001	1620001
1530001	1630001
1540001	1640001
1550001	1650001
1560001	1660001
1570001	1670001
1580001	1680001
1590001	1690001
1600001	1700001
1610001	1710001
1620001	1720001
1630001	1730001
1640001	1740001
1650001	1750001
1660001	1760001
1670001	1770001
1680001	1780001
1690001	1790001
